ean,name,brand,category,eu_countries,flag_nc,flag_cf,flag_fragrance_free,nc_basis,cf_basis,fragrance_basis,source_url,notes
3263855989211,Savon écologique et biologique,Leader Price,other,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3263855989211/savon-ecologique-et-biologique-leader-price,
3450870021136,Eclat Naturel,Leonor Greyl,hair,FR,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/3450870021136/eclat-naturel-leonor-greyl,Kategorie eher nicht Gesicht
3331300011968,Ultimate Slim Sérum 100% Actif Cure Cellulite Rebelle,Linéance,face/skincare,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3331300011968/ultimate-slim-serum-100-actif-cure-cellulite-rebelle-lineance,
7350069280022,Argan oil,Loelle,other,SE,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/7350069280022/argan-oil-loelle,
7350069280176,Rosehip oil,Loelle,face/skincare,SE,no,yes,no,,obf-label,,https://world.openbeautyfacts.org/product/7350069280176/rosehip-oil-loelle,
4017645046290,Shampooing sensitif à l'acacia bio,Logo à,hair,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/4017645046290/shampooing-sensitif-a-l-acacia-bio-logo-a,Kategorie eher nicht Gesicht
4017645036802,Shampooing réparateur au ginkgo,Logona,hair,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/4017645036802/shampooing-reparateur-au-ginkgo-logona,Kategorie eher nicht Gesicht
4017645036949,Shampooing soin brillance,Logona,hair,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/4017645036949/shampooing-soin-brillance-logona,Kategorie eher nicht Gesicht
4017645028579,Shampooing volumateur au miel et à la bière,Logona,hair,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/4017645028579/shampooing-volumateur-au-miel-et-a-la-biere-logona,Kategorie eher nicht Gesicht
3700668700744,Serviettes hypoallergéniques anti-irritation Normal,Love & Green,other,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3700668700744/serviettes-hypoallergeniques-anti-irritation-normal-love-green,
3700668700232,Veritable liniment,Love&Green,unspecified,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3700668700232/veritable-liniment-love-green,
3506770302001,Spray protecteur hydratant SPF 30 haute protection,Lovea,face/skincare,FR,no,yes,yes,,obf-label,obf-label,https://world.openbeautyfacts.org/product/3506770302001/spray-protecteur-hydratant-spf-30-haute-protection-lovea,
3517360006162,BB Cream Mon lait d'Ânesse  SPF 10 - 01 beige lumière,Léa Nature,face/skincare,FR,yes,no,yes,obf-label,,obf-label,https://world.openbeautyfacts.org/product/3517360006162/bb-cream-mon-lait-d-anesse-spf-10-01-beige-lumiere-lea-nature,
3517360005998,BB cream texture légère perfecteur de teint - 01 beige nude,Léa Nature,face/skincare,FR,yes,no,no,obf-label,,,https://world.openbeautyfacts.org/product/3517360005998/bb-cream-texture-legere-perfecteur-de-teint-01-beige-nude-lea-nature,
3517360002577,Douche & Bain parfum Cola,Léa Nature,other,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3517360002577/cola-lea-nature,
3517360006261,Douche au lait de jument Crème de douche nourrissante,Léa Nature,other,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3517360006261/douche-au-lait-de-jument-creme-de-douche-nourrissante-lea-nature,
3517360002430,Douche Lait d'ânesse Douche et bain lacté,Léa Nature,other,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3517360002430/douche-lait-d-anesse-douche-et-bain-lacte-lea-nature,
3517360002485,Douche nourrissante Vanille de Tahiti,Léa Nature,other,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3517360002485/douche-nourrissante-vanille-de-tahiti-lea-nature,
3517360012781,Gel Douche Hypoallergénique à la fleur de Mauve - Léa Nature - So'Bio étic - 650 ml,Léa Nature,other,FR,no,no,yes,,,obf-label,https://world.openbeautyfacts.org/product/3517360012781/gel-douche-hypoallergenique-a-la-fleur-de-mauve-lea-nature-so-bio-etic-650-ml,
