ean,dan,name,brand,category,price,dm_url,flag_fragrance_free,flag_nc,flag_cf,dm_fragranceFree,dm_oilFree,dm_naturalCosmetics,dm_vegan,highlights,description,queries,source,checked_at
4062300473720,3097126,"Baby Pflegebad hochverträglich, 200 ml",HiPP,"Babyshampoo, Badezusätze & Co. > Babypflege","3,45 €",https://www.dm.de/applink/p/d/3097126/hipp-baby-pflegebad-hochvertraeglich?appPageType=productdetails&appProductId=3097126&wt_mc=dm-mcp,yes,no,no,True,False,False,False,"Mit Panthenol und Bio-Mandelextrakt, Rückfettende Formulierung, Besonders mild, Für trockene, sensible oder zu Neuroderm",Das Baby Pflegebad hochverträglich von HiPP bietet eine besonders sanfte Reinigung für empfindliche Babyhaut. Die rückfettende Rezeptur mit Panthenol ,Baby Pflege parfümfrei,dm-mcp-searchProducts,2026-09-04
4062300458963,3097128,"Baby Ölbalsam hochverträglich, 150 ml",HiPP,Babyöl & Babycreme > Babypflege,"3,95 €",https://www.dm.de/applink/p/d/3097128/hipp-baby-oelbalsam-hochvertraeglich?appPageType=productdetails&appProductId=3097128&wt_mc=dm-mcp,yes,no,no,True,False,False,False,"Balsam-zu-Öl-Formulierung, Mit Sheabutter und Mandelöl, Geeignet für trockene und sensible Babyhaut, Parfümfrei",Der Baby Ölbalsam hochverträglich von HiPP pflegt und schützt zarte Babyhaut besonders sanft. Die innovative Textur verwandelt sich beim Auftragen von,Baby Creme ohne Parfum,dm-mcp-searchProducts,2026-09-04
42241249,1631852,"Sonnencreme Gesicht Kids, ultra sensitiv, LSF 50+, 30 ml",HiPP Babysanft,Sonnencreme > Sonnenpflege,"5,25 €",https://www.dm.de/applink/p/d/1631852/hipp-babysanft-sonnencreme-gesicht-kids-ultra-sensitiv-lsf-50?appPageType=productdetails&appProductId=1631852&wt_mc=dm-mcp,yes,no,no,True,False,False,False,"Sensitive Sonnencreme für das Gesicht, Besonders für zarte Kinder- und Babyhaut, Frei von korallenschädlichen Lichtschut","Zarte Babyhaut benötigt vor schädlicher Sonneneinstrahlung einen besonderen Schutz, darum ist die HiPP ultra senstitive Kids-Gesicht-Sonnencreme auf d",Sonnencreme Gesicht parfümfrei,dm-mcp-searchProducts,2026-09-04
4262401734984,2968906,"Gesichtscreme Essential LSF 30, 50 ml",Jean&Len,Tagescreme > Gesichtspflege,"9,95 €",https://www.dm.de/applink/p/d/2968906/jean-und-len-gesichtscreme-essential-lsf-30?appPageType=productdetails&appProductId=2968906&wt_mc=dm-mcp,yes,no,no,True,False,False,True,"Gesichtscreme, LSF 30, ideal für jeden Hauttyp, Optimiert die Hautfestigkeit, Verbessert die Hautelastizität, glättet & ",Die Gesichtscreme Essential mit dem Lichtschutzfaktor 30 von Jean&Len wird die Jugendlichkeit der Haut erhalten. Der 1-prozentige enthaltene Phyto-Kol,Gesichtscreme parfümfrei | nicht komedogen Gesichtscreme,dm-mcp-searchProducts,2026-09-04
4262401734953,2968944,"Gesichtscreme Ultimate Glow, 50 ml",Jean&Len,Tagescreme > Gesichtspflege,"7,95 €",https://www.dm.de/applink/p/d/2968944/jean-und-len-gesichtscreme-ultimate-glow?appPageType=productdetails&appProductId=2968944&wt_mc=dm-mcp,yes,no,no,True,False,False,True,"Gesichtscreme, Hyaluronsäure & pflanzliches Glycerin spenden 24h-Feuchtigkeit, Sheabutter & Panthenol unterstützen die h","Die Ultimate Glow Gesichtscreme von Jean&Len ist eine Tagescreme mit reichhaltiger Formulierung. Das enthaltene 4-prozentige Vitamin C sowie der 1,3-p",Gesichtscreme parfümfrei,dm-mcp-searchProducts,2026-09-04
4008233181707,3083243,"Bodylotion Derma Protect Nachtkerze, 200 ml",Kneipp,Bodylotion & Hautcreme > Körperpflege,"8,95 €",https://www.dm.de/applink/p/d/3083243/kneipp-bodylotion-derma-protect-nachtkerze?appPageType=productdetails&appProductId=3083243&wt_mc=dm-mcp,no,no,no,False,False,False,False,"Für sehr trockene Haut, auch bei Neurodermitis, Mindert Juckreiz und Spannungsgefühle, 48h intensive Feuchtigkeit","Die Bodylotion Derma Protect Nachtkerze von Kneipp bietet intensive Pflege für sehr trockene und empfindliche Haut, auch bei Neurodermitis. Mit schütz",Eucerin Dermopure,dm-mcp-searchProducts,2026-09-04
3600523183746,1449765,"Gesichtscreme Anti Falten Experte 45+, 50 ml",L'ORÉAL PARiS,Anti Aging > Tagescreme > Gesichtspflege,"4,45 €",https://www.dm.de/applink/p/d/1449765/l-oreal-paris-gesichtscreme-anti-falten-experte-45?appPageType=productdetails&appProductId=1449765&wt_mc=dm-mcp,no,no,no,False,False,False,False,,Schenkt mehr Straffheit und samtweiche Haut: L'ORÉAL PARIS Dermo Anti-Falten Experte 45+ wurde speziell für die Bedürfnisse der Haut ab 45 Jahren entw,Purito Creme,dm-mcp-searchProducts,2026-09-04
3600524069742,1678419,"Serum Revitalift Clinical Vitamin C & Vitamin E, 30 ml",L'ORÉAL PARiS REVITALIFT,Serum & Kur > Gesichtspflege,"19,95 €",https://www.dm.de/applink/p/d/1678419/l-oreal-paris-revitalift-serum-revitalift-clinical-vitamin-c-und-vitamin-e?appPageType=productdetails&appProductId=1678419&wt_mc=dm-mcp,no,no,no,False,False,False,True,"Für empfindliche & sensible Haut sowie für alle Hauttöne & -typen geeignet, Mit 12 % purem Vitamin C, Vitamin E & Salicy",Das Revitalift Clinical Vitamin C Serum von L’Oréal Paris ist formuliert mit einer puren und stabilen Form von Vitamin C in hoher Konzentration. Bei 2,Niacinamid Serum,dm-mcp-searchProducts,2026-09-04
4262459493864,3138627,"Pflegecreme, 75 ml",LILLYDOO,Babyöl & Babycreme > Babypflege,"3,95 €",https://www.dm.de/applink/p/d/3138627/lillydoo-pflegecreme?appPageType=productdetails&appProductId=3138627&wt_mc=dm-mcp,yes,no,no,True,False,True,True,"Pflegecreme für Gesicht und Körper, Versorgt empfindliche Haut intensiv mit Feuchtigkeit, Kann helfen die Haut geschmeid","Die LILLYDOO Pflegecreme versorgt empfindliche Babyhaut intensiv mit Feuchtigkeit und kann dabei helfen, die Haut geschmeidig zu halten. Ihre Formulie",Purito Creme,dm-mcp-searchProducts,2026-09-04
4262459493888,3138581,"Shampoo & Waschlotion 2in1, 150 ml",LILLYDOO,"Babyshampoo, Badezusätze & Co. > Babypflege","2,95 €",https://www.dm.de/applink/p/d/3138581/lillydoo-shampoo-und-waschlotion-2in1?appPageType=productdetails&appProductId=3138581&wt_mc=dm-mcp,yes,no,no,True,False,True,True,"2in1 Shampoo und Waschlotion, Tränenfreie und milde Reinigung, Ideal für die tägliche Pflegeroutine, Mit Bio-Aloe Vera u",Das LILLYDOO 2in1 Shampoo & Waschlotion reinigt empfindliche Babyhaut und feines Haar besonders sanft und zuverlässig. Als praktisches Kombiprodukt is,Weleda Calendula parfümfrei,dm-mcp-searchProducts,2026-09-04
