ean,name,brand,age_band,category_slot,eu_countries,flag_fragrance_free,flag_under3_intended,flag_cf,flag_nc,fragrance_basis,under3_basis,cf_basis,nc_basis,spf_note,source_url,notes
3250391966806,Gel lavant corps & cheveux,Intermarché,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3250391966806/gel-lavant-corps-cheveux-intermarche,
6291100760442,Baby soap,Johnson & Johnson,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/6291100760442/baby-soap-johnson-johnson,
3282779338721,Klorane Bebe Gentle Foaming Gel Body And Hair 2X500ML (bath),Klorane,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3282779338721/klorane-bebe-gentle-foaming-gel-body-and-hair-2x500ml-bath,
3282779326919,Klorane Bébé Savon surgras très doux,Klorane,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3282779326919/klorane-bebe-savon-surgras-tres-doux,
3282779326834,Gel douceur moussant,Klorane Bébé,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3282779326834/gel-douceur-moussant-klorane-bebe,
3450601052330,Gel lavant Corps & Cheveux,L'arbre vert,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3450601052330/gel-lavant-corps-cheveux-l-arbre-vert-bebe,
3600550806847,Crème lavante protectrice bain & douche,LASCAD,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3600550806847/creme-lavante-protectrice-bain-douche-l-oreal,
3770012829797,Poudre Soin Végetale 2 En 1 Recharge,Le Bébé Français Bio,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3770012829797/poudre-soin-vegetale-2-en-1-recharge-le-bebe-francais-bio,
3549620080001,Gel lavant douceur Corps & Cheveux,Le Petit Olivier,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3549620080001/gel-lavant-douceur-corps-cheveux-le-petit-olivier,
3574661870175,Gel lavant doux Amande douce,Le tout petit marseillais bébé,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3574661870175/gel-lavant-doux-amande-douce-le-tout-petit-marseillais-bebe,
3574661870168,Gel lavant doux Calendula,Le tout petit marseillais bébé,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3574661870168/gel-lavant-doux-calendula-le-tout-petit-marseillais-bebe,
3263855776217,Bébé Gel lavant,Leader Price,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3263855776217/bebe-gel-lavant-leader-price,
3263855774114,Bébé Gel lavant corps & cheveux,Leader Price,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3263855774114/bebe-gel-lavant-corps-cheveux-leader-price,
3517360000269,So'Bio Etic Baby' Gel Lavant,Léa Nature,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3517360000269/so-bio-etic-baby-gel-lavant-lea-nature,
3564700701096,Gel lavant 2 en 1 Bio,Marque Repère,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3564700701096/gel-lavant-2-en-1-bio-marque-repere,
3600550806281,Bain de confort lavant Cold Cream,Mixa,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3600550806281/bain-de-confort-lavant-cold-cream-mixa,
3600551039848,Bébé - Gel lavant corps et cheveux,Mixa,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3600551039848/bebe-gel-lavant-corps-et-cheveux-mixa,
3350033527065,Le gel lavant sans savon,Monoprix,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3350033527065/le-gel-lavant-sans-savon-monoprix-bebe,
3504105028374,Gel lavant doux,Mustela,baby_0_36m,bad,FR,no,yes,no,no,,brand-line+obf,,,,https://world.openbeautyfacts.org/product/3504105028374/gel-lavant-doux-mustela,Mustela Kernlinie oft parfümiert; Stelatopia für FF priorisieren.
3504105024567,Savon surgras au Cold Cream nutri-protecteur,Mustela,baby_0_36m,bad,FR,no,yes,no,no,,brand-line+obf,,,,https://world.openbeautyfacts.org/product/3504105024567/savon-surgras-au-cold-cream-nutri-protecteur-mustela,Mustela Kernlinie oft parfümiert; Stelatopia für FF priorisieren.
80058045,Baby shampoo & bath,Nivea,baby_0_36m,bad,AT,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/80058045/baby-shampoo-bath-nivea,
42236498,Gel lavant douceur corps & cheveux baby,Nivea,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/42236498/gel-lavant-douceur-corps-cheveux-baby-nivea,
4005808805648,Gel lavant douceur corps & cheveux Nourisson et bébés,Nivea,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/4005808805648/gel-lavant-douceur-corps-cheveux-nourisson-et-bebes-nivea,
4005808361182,SHAMPOOING & BAIN HAPPY BATH,Nivea Baby,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/4005808361182/shampooing-bain-happy-bath-nivea-baby,
4005808379828,SHAMPOOING & BAIN HAPPY BATH,Nivea Baby,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/4005808379828/shampooing-bain-happy-bath-nivea-baby,
3700593603875,Lessive bébé,Persadon,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3700593603875/lessive-bebe-persadon,
3256221674286,Gel lavant corps et cheveux,U,baby_0_36m,bad,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3256221674286/gel-lavant-corps-et-cheveux-u,
3596209937119,Weleda Bébé Calendula - Bain Crème,Weleda,baby_0_36m,bad,FR,no,yes,no,no,,brand-line+obf,,,,https://world.openbeautyfacts.org/product/3596209937119/weleda-bebe-calendula-bain-creme,Weleda Calendula Standard oft mit Duft/ätherischen Ölen — FF nur parfümfrei-SKU.
8721317738180,Zwitsal Baby & Kids Bath Care Set,Zwitsal,baby_0_36m,bad,NL,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/8721317738180/zwitsal-baby-kids-bath-care-set,
8002849914175,Baby dentifricio,,baby_0_36m,creme,IT,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/8002849914175/baby-dentifricio,
3663395018141,Crème nuit bebe,,baby_0_36m,creme,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3663395018141/creme-nuit-bebe,
3574660420951,Johnson's baby lotion,,baby_0_36m,creme,NL,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3574660420951/johnson-s-baby-lotion,
4021457612956,Lavera Baby u. Kinder Pflegecreme,,baby_0_36m,creme,FR;DE,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/4021457612956/lavera-baby-u-kinder-pflegecreme,
4021457604975,Lavera Baby u. Kinder Windschutzcreme,,baby_0_36m,creme,FR;DE,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/4021457604975/lavera-baby-u-kinder-windschutzcreme,
4005900190369,nivea baby,,baby_0_36m,creme,IT,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/4005900190369/nivea-baby,
8011502005747,Salviettine Baby Laura Baumer Ricar.72 PZ.,,baby_0_36m,creme,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/8011502005747/salviettine-baby-laura-baumer-ricar-72-pz,
8711218979102,Sudocrem Multi-Expert Zinkzalf,,baby_0_36m,creme,NL,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/8711218979102/sudocrem-multi-expert-zinkzalf,
8711218979133,Sudocrem Multi-Expert Zinkzalf,,baby_0_36m,creme,NL,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/8711218979133/sudocrem-multi-expert-zinkzalf,
3596710519507,Carrés à langer x10,Auchan Baby,baby_0_36m,creme,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3596710519507/carres-a-langer-x10-auchan-baby,
3596710421084,Gant de toilette jetable,Auchan Baby,baby_0_36m,creme,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3596710421084/gant-de-toilette-jetable-auchan-baby,
3245678041284,Crème hydratante visage et corps à l'extrait de calendula bio,Auchan Baby Bio,baby_0_36m,creme,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3245678041284/creme-hydratante-visage-et-corps-a-l-extrait-de-calendula-bio-auchan-baby-bio,
0381371019410,daily moisture lotion,Aveeno baby,baby_0_36m,creme,DE,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/0381371019410/daily-moisture-lotion-aveeno-baby,
5391510478072,Baby Pure Moisturising Lotion,Baby Pure,baby_0_36m,creme,IE,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/5391510478072/baby-pure-moisturising-lotion,
4047196066232,Powder with jojoba oil & alantoin,Babydream,baby_0_36m,creme,PL,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/4047196066232/powder-with-jojoba-oil-alantoin-babydream,
4068134030948,Wind- und Wetterbalsam,Babydream,baby_0_36m,creme,DE,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/4068134030948/wind-und-wetterbalsam-babydream,
5900017097961,Oliwka hipoalergiczna,Bambino,baby_0_36m,creme,PL,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/5900017097961/oliwka-hipoalergiczna-bambino,
4270002383401,Baby Lotion,Baybies Pure Green Cosmetics,baby_0_36m,creme,DE,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/4270002383401/baby-lotion-baybies-pure-green-cosmetics,
4064273150059,Bepanthen cream,Bayer,baby_0_36m,creme,PL,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/4064273150059/bepanthen-cream-bayer,
3574660401523,3in1 shake and clean augen make-up entferner lotion,bebe,baby_0_36m,creme,DE,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3574660401523/3in1-shake-and-clean-augen-make-up-entferner-lotion-bebe,
3574661690513,gesichtscreme,bebe,baby_0_36m,creme,DE,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3574661690513/gesichtscreme-bebe,
3574661604145,Handcreme,bebe,baby_0_36m,creme,DE,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3574661604145/handcreme-bebe,
3574660653533,Baume hydratant protecteur,Bebe Biafine,baby_0_36m,creme,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3574660653533/baume-hydratant-protecteur-bebe-biafine,
3574660618488,Crème lavante cheveux et corps,Bebe Biafine,baby_0_36m,creme,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3574660618488/creme-lavante-cheveux-et-corps-bebe-biafine,
8715342041261,Body Milk Calendula,Bebilild,baby_0_36m,creme,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/8715342041261/body-milk-calendula-bebilild,
3401528543739,Crème Minérale bébé,Bepanthen Soleil,baby_0_36m,creme,FR,no,yes,no,no,,obf-category-or-name,,,,https://world.openbeautyfacts.org/product/3401528543739/creme-minerale-bebe-bepanthen-soleil,
