ean,name,brand,katalog,age_band,slot,eu_countries,flag_fragrance_free,flag_nc,flag_cf,flag_under3_intended,fragrance_basis,nc_basis,cf_basis,under3_basis,not_for_minors,spf_note,source_url,checked_at,notes,source_file
30146754,Maybelline New York SuperStay Teddy Tint 25 Baby Tee Lippenstift,,baby_kind,baby_0_36m,sonst,NL,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/30146754/maybelline-new-york-superstay-teddy-tint-25-baby-tee-lippenstift,2026-09-04,,eu-baby-kind-katalog.csv
8721008611044,NAIF 100 ml BABY & KIND Mineralische Sonnencreme 50: HOHER SCHUTZ 0% PARFÜM,,baby_kind,baby_0_36m,spf,DE,no,no,no,yes,,,,obf-category-or-name,no,AAP/AAD: unter 6 Monaten SPF nicht first-line,https://world.openbeautyfacts.org/product/8721008611044/naif-100-ml-baby-kind-mineralische-sonnencreme-50-hoher-schutz-0-parfum,2026-09-04,"SAFETY NOTE unter 6 Mon.: Schatten/Kleidung first-line, kein SPF-First für Neonaten in App-Copy.",eu-baby-kind-katalog.csv
8721008611075,Naïf BABY & KIND Mineralische Sonnencreme 50 HOHER SCHUTZ 0% PARFÜM,,baby_kind,baby_0_36m,spf,DE,no,no,no,yes,,,,obf-category-or-name,no,AAP/AAD: unter 6 Monaten SPF nicht first-line,https://world.openbeautyfacts.org/product/8721008611075/naif-baby-kind-mineralische-sonnencreme-50-hoher-schutz-0-parfum,2026-09-04,"SAFETY NOTE unter 6 Mon.: Schatten/Kleidung first-line, kein SPF-First für Neonaten in App-Copy.",eu-baby-kind-katalog.csv
8720181537851,"Neutral 0% Baby Bath, Wash & Shampoo",,baby_kind,baby_0_36m,bad,NL,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/8720181537851/neutral-0-baby-bath-wash-shampoo,2026-09-04,,eu-baby-kind-katalog.csv
4005900190369,nivea baby,,baby_kind,baby_0_36m,creme,IT,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/4005900190369/nivea-baby,2026-09-04,,eu-baby-kind-katalog.csv
7501044205381,olormax talco hipoalergenico baby,,baby_kind,baby_0_36m,sonst,ES,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/7501044205381/olormax-talco-hipoalergenico-baby,2026-09-04,,eu-baby-kind-katalog.csv
3574660520286,Penaten Baby Bad&Shampoo,,baby_kind,baby_0_36m,haar,FR;DE,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/3574660520286/penaten-baby-bad-shampoo,2026-09-04,,eu-baby-kind-katalog.csv
3574661790442,petite marseillais,,baby_kind,baby_0_36m,haar,DE,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/3574661790442/petite-marseillais,2026-09-04,,eu-baby-kind-katalog.csv
8011502005747,Salviettine Baby Laura Baumer Ricar.72 PZ.,,baby_kind,baby_0_36m,creme,FR,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/8011502005747/salviettine-baby-laura-baumer-ricar-72-pz,2026-09-04,,eu-baby-kind-katalog.csv
5410091778606,Schwarzkopf Kids Shampoo & Conditioner,,baby_kind,baby_0_36m,haar,NL,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/5410091778606/schwarzkopf-kids-shampoo-conditioner,2026-09-04,,eu-baby-kind-katalog.csv
5410091778620,Schwarzkopf Kids Shampoo & Douchegel,,baby_kind,baby_0_36m,bad,NL,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/5410091778620/schwarzkopf-kids-shampoo-douchegel,2026-09-04,,eu-baby-kind-katalog.csv
4820023360075,Seife baby,,baby_kind,baby_0_36m,sonst,DE,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/4820023360075/seife-baby,2026-09-04,,eu-baby-kind-katalog.csv
7702277074663,shampoo bebe cuidado,,baby_kind,baby_0_36m,haar,ES,no,no,no,yes,,,,obf-category-or-name,no,,https://world.openbeautyfacts.org/product/7702277074663/shampoo-bebe-cuidado,2026-09-04,,eu-baby-kind-katalog.csv
